SK_ID_CURR,max_entry_payment_day
100001,-1628.0
100002,-529.0
100003,-544.0
100004,-727.0
100005,-515.0
100006,-530.0
100007,-514.0
100008,-531.0
100009,-666.0
100010,-774.0
100011,-525.0
100012,-507.0
100013,-522.0
100014,-513.0
100015,-2108.0
100016,-539.0
100017,-504.0
100018,-796.0
100019,-716.0
100021,-522.0
100023,-1432.0
100025,-697.0
100026,-1255.0
100027,-501.0
100028,-513.0
100030,-2818.0
100032,-1307.0
100033,-553.0
100034,-516.0
100035,-651.0
100037,-521.0
100038,-528.0
100039,-521.0
100040,-532.0
100041,-1101.0
100042,-502.0
100043,-507.0
100044,-930.0
100045,-508.0
100046,-509.0
100047,-1172.0
100048,-525.0
100049,-512.0
100051,-502.0
100053,-532.0
100054,-518.0
100055,-522.0
100056,-559.0
100057,-1077.0
100059,-519.0
100061,-510.0
100063,-513.0
100064,-502.0
100065,-1043.0
100066,-510.0
100067,-509.0
100069,-510.0
100070,-951.0
100071,-703.0
100072,-596.0
100073,-517.0
100074,-1377.0
100075,-522.0
100077,-2351.0
100078,-503.0
100079,-555.0
100080,-527.0
100081,-2213.0
100082,-501.0
100083,-507.0
100084,-865.0
100085,-1006.0
100086,-514.0
100087,-514.0
100088,-1241.0
100089,-1513.0
100090,-528.0
100091,-507.0
100092,-517.0
100093,-512.0
100095,-503.0
100097,-2156.0
100098,-505.0
100099,-503.0
100100,-516.0
100101,-539.0
100104,-2299.0
100105,-512.0
100106,-544.0
100108,-524.0
100109,-507.0
100111,-508.0
100112,-501.0
100113,-1603.0
100116,-507.0
100117,-698.0
100118,-811.0
100121,-1774.0
100122,-1245.0
100123,-509.0
100124,-512.0
100125,-503.0
100126,-522.0
100127,-610.0
100128,-723.0
100131,-506.0
100132,-507.0
100133,-510.0
100135,-954.0
100136,-517.0
100137,-507.0
100139,-509.0
100141,-634.0
100142,-822.0
100143,-863.0
100144,-526.0
100145,-501.0
100146,-518.0
100147,-519.0
100148,-505.0
100150,-984.0
100151,-688.0
100152,-517.0
100153,-516.0
100154,-1661.0
100155,-503.0
100156,-2242.0
100157,-1333.0
100158,-516.0
100159,-542.0
100162,-702.0
100163,-1519.0
100164,-511.0
100165,-848.0
100166,-1348.0
100167,-530.0
100168,-531.0
100169,-500.0
100170,-538.0
100171,-504.0
100172,-616.0
100173,-860.0
100175,-1547.0
100176,-527.0
100178,-1554.0
100179,-510.0
100180,-545.0
100181,-563.0
100182,-1582.0
100183,-996.0
100184,-507.0
100185,-508.0
100186,-1223.0
100187,-1071.0
100188,-501.0
100189,-500.0
100190,-512.0
100191,-981.0
100193,-510.0
100194,-1360.0
100196,-530.0
100197,-506.0
100198,-709.0
100199,-520.0
100200,-2115.0
100201,-635.0
100202,-522.0
100204,-931.0
100205,-1478.0
100206,-519.0
100207,-2551.0
100208,-955.0
100210,-2547.0
100211,-506.0
100212,-537.0
100213,-2337.0
100214,-1826.0
100215,-502.0
100216,-932.0
100217,-500.0
100218,-500.0
100219,-624.0
100220,-519.0
100221,-527.0
100222,-529.0
100223,-504.0
100224,-1644.0
100225,-1076.0
100226,-790.0
100227,-856.0
100228,-502.0
100229,-1980.0
100231,-1959.0
100232,-503.0
100233,-518.0
100235,-516.0
100237,-517.0
100238,-1158.0
100239,-507.0
100240,-524.0
100242,-1930.0
100243,-866.0
100244,-530.0
100245,-513.0
100247,-503.0
100248,-506.0
100249,-723.0
100250,-522.0
100251,-1070.0
100253,-733.0
100255,-523.0
100256,-501.0
100257,-503.0
100259,-529.0
100260,-1724.0
100261,-509.0
100262,-506.0
100263,-2080.0
100264,-2056.0
100265,-505.0
100266,-515.0
100267,-512.0
100268,-513.0
100270,-508.0
100271,-530.0
100272,-990.0
100273,-519.0
100274,-802.0
100275,-507.0
100276,-1544.0
100279,-565.0
100280,-504.0
100281,-520.0
100283,-747.0
100284,-504.0
100285,-514.0
100287,-525.0
100289,-524.0
100290,-516.0
100291,-517.0
100292,-1416.0
100293,-507.0
100294,-1592.0
100296,-523.0
100297,-506.0
100298,-528.0
100299,-509.0
100300,-1792.0
100301,-1490.0
100302,-504.0
100303,-1153.0
100305,-765.0
100306,-861.0
100307,-505.0
100308,-502.0
100310,-510.0
100311,-507.0
100312,-525.0
100313,-572.0
100314,-783.0
100315,-616.0
100316,-503.0
100317,-502.0
100319,-1557.0
100320,-624.0
100321,-531.0
100322,-1452.0
100323,-2926.0
100324,-1591.0
100325,-511.0
100327,-507.0
100328,-533.0
100329,-508.0
100330,-656.0
100331,-510.0
100332,-2011.0
100333,-801.0
100335,-609.0
100336,-518.0
100337,-509.0
100338,-510.0
100339,-503.0
100340,-507.0
100341,-2156.0
100342,-594.0
100343,-515.0
100344,-1677.0
100345,-521.0
100346,-1339.0
100347,-509.0
100349,-525.0
100350,-501.0
100351,-514.0
100352,-541.0
100353,-501.0
100354,-626.0
100355,-502.0
100356,-525.0
100357,-502.0
100358,-508.0
100359,-2329.0
100360,-948.0
100361,-523.0
100362,-530.0
100363,-507.0
100364,-513.0
100365,-508.0
100367,-524.0
